file_name, transcription
khummuang_000070.mp3,phuean⁵¹ mi³³ khenuengtuem⁵¹ smunpnai¹⁵ tnipna³³ tna³³ khaisin³³ khongat¹⁵ u²¹ nueng²¹ phan³³ nuengnoi²¹ khuat¹⁵
khummuang_000128.mp3,phuainpan²¹ mi³³ khao⁵¹ ommani¹⁵ thungkuna⁵¹ rongai⁴⁴ khong¹⁵ ban⁵¹ u²¹ nueng²¹ muen²¹ nueng²¹ phan³³ ho²¹
khummuang_000129.mp3,na⁴⁴ mi³³ nampueng⁴⁴ thae⁴⁴ khat³³ phitet³³ tna³³ lat³³ da³³ khong¹⁵ stanitamnuat¹⁵ u²¹ yi⁵¹ siptong¹⁵ khuat¹⁵
khummuang_000149.mp3,phuainpan²¹ khai¹⁵ khaoknong⁵¹ om¹⁵ nin³³ intni³³ ho²¹ la³³ yi⁵¹ siptong¹⁵ bat³³ khnap³³
khummuang_000156.mp3,phom¹⁵ ak³³ hai⁵¹ khun³³ rutak⁴⁴ nongtao⁴⁴
khummuang_000208.mp3,khon³³ sao¹⁵ mi³³ knuaitak⁵¹ khong¹⁵ rongpapan³³ sngtenim²¹ sukpap¹⁵ tampn³³ u²¹ yitip⁵¹ paet³³ knong²¹
khummuang_000216.mp3,phitai⁵¹ mi³³ khenuengtuem⁵¹ smunpnai¹⁵ tnipna³³ tna³³ khaisin³³ khong¹⁵ san¹⁵ u²¹ samtip¹⁵ khuat¹⁵
khummuang_000225.mp3,kamnan³³ khai¹⁵ khao⁵¹ ommani¹⁵ intni³³ thri³³ in³³ wan³³ ho²¹ la³³ sip¹⁵ ok¹⁵ bat³³ kha⁵¹
khummuang_000290.mp3,kamnan³³ khai¹⁵ pnana⁵¹ bong³³ suk¹⁵ knapuk³³ la³³ sip¹⁵ bat³³ kha⁵¹
khummuang_000369.mp3,khnaoาt³³ mi³³ khao⁵¹ ommani¹⁵ intni³³ thri³³ in³³ wan³³ khong¹⁵ soi³³ lek³³ lek³³ u²¹ song¹⁵ phan³³ ho²¹
khummuang_000444.mp3,khnaoาt³³ mi³³ khaotao⁵¹ knong⁵¹ sang¹⁵ yt¹⁵ intni³³ khongat¹⁵ u²¹ song¹⁵ roi⁴⁴ ho²¹
khummuang_000461.mp3,manta³³ khai¹⁵ nam⁴⁴ manpoeni⁵¹ nuengnoi²¹ poe³³ sen³³ wang³³ phu³³ mok¹⁵ fam³³ khuat¹⁵ la³³ paet³³ bat³³ kha⁵¹
khummuang_000496.mp3,mueng³³ mi³³ nam⁴⁴ fakkao⁴⁴ chi³³ phnat³³ khong¹⁵ sapan¹⁵ u²¹ sun¹⁵ khuat¹⁵
khummuang_000501.mp3,thit³³ khai¹⁵ nam⁴⁴ fakkao⁴⁴ chi³³ phnat³³ khuat¹⁵ la³³ sam¹⁵ muen²¹ bat³³ khnap³³
khummuang_000729.mp3,nongtai⁴⁴ mi³³ khao⁵¹ ommani¹⁵ chk¹⁵ sunin¹⁵ chai³³ si¹⁵ ri³³ nueng²¹ ho²¹ kha⁵¹
khummuang_000877.mp3,khnkae⁵¹ phutai⁵¹ mi³³ khaotao⁵¹ knong⁵¹ sang¹⁵ yt¹⁵ intni³³ u²¹ yoe³³ mai⁴⁴ khnap³³
khummuang_000903.mp3,pa⁵¹ mi³³ khao⁵¹ ommani¹⁵ chk¹⁵ sunin¹⁵ chai³³ si¹⁵ ri³³ khong¹⁵ san¹⁵ u²¹ song¹⁵ phan³³ ho²¹
khummuang_000935.mp3,khnkae⁵¹ phuning⁵¹ mi³³ khao⁵¹ ommani¹⁵ chk¹⁵ sunin¹⁵ chai³³ si¹⁵ ri³³ khong¹⁵ ranka⁴⁴ u²¹ nueng²¹ phan³³ nuengnoi²¹ ho²¹
khummuang_000947.mp3,manta³³ mi³³ pnana⁵¹ bong³³ suk¹⁵ khong¹⁵ stanikntng²¹ u²¹ nueng²¹ muen²¹ song¹⁵ phan³³ knapuk³³
khummuang_001054.mp3,khao⁵¹ ommani¹⁵ thungkuna⁵¹ rongai⁴⁴ pen³³ khong¹⁵ naenam³³ pnatamtangat³³ loei³³ kha⁵¹
khummuang_001172.mp3,pa⁵¹ mi³³ knuaitak⁵¹ u²¹ yoe³³ mai⁴⁴ khnap³³
khummuang_001173.mp3,manta³³ khai¹⁵ khnmtin¹⁵ op³³ aeng⁵¹ song³³ la³³ yitip⁵¹ si²¹ bat³³ kha⁵¹
khummuang_001518.mp3,kamnan³³ khai¹⁵ nam⁴⁴ manpoeni⁵¹ nuengnoi²¹ poe³³ sen³³ wang³³ phu³³ mok¹⁵ fam³³ khuat¹⁵ la³³ sip¹⁵ bat³³ kha⁵¹
khummuang_001606.mp3,lung³³ khai¹⁵ khukki⁴⁴ khaoknong⁵¹ knum²¹ maepan⁵¹ kettnkn³³ ban⁵¹ nong¹⁵ khu³³ mu²¹ song¹⁵ knapong¹⁵ la³³ ha⁵¹ bat³³ kha⁵¹
khummuang_001675.mp3,phuainpan²¹ mi³³ khao⁵¹ ommani¹⁵ chk¹⁵ sunin¹⁵ chai³³ si¹⁵ ri³³ sip¹⁵ si²¹ ho²¹ kha⁵¹
khummuang_001688.mp3,phitai⁵¹ mi³³ cha³³ kaen²¹ taan³³ khongat¹⁵ u²¹ song¹⁵ ho²¹
khummuang_001819.mp3,khnkae⁵¹ phutai⁵¹ khai¹⁵ cha³³ kaen²¹ taan³³ ho²¹ la³³ sam¹⁵ muen²¹ bat³³ kha⁵¹
khummuang_001857.mp3,khnaoาt³³ mi³³ khaotao⁵¹ knong⁵¹ sang¹⁵ yt¹⁵ intni³³ khong¹⁵ ban⁵¹ u²¹ nuengnoi²¹ ho²¹
khummuang_001893.mp3,mueng³³ mi³³ khaotao⁵¹ knong⁵¹ sang¹⁵ yt¹⁵ intni³³ khong¹⁵ khnong³³ u²¹ nueng²¹ saen¹⁵ sam¹⁵ muen²¹ ho²¹
khummuang_002035.mp3,khnkae⁵¹ phutai⁵¹ mi³³ sinka⁵¹ laioiาng²¹ wanni⁴⁴ mi³³ nam⁴⁴ fakkao⁴⁴ chi³³ phnat³³ khnap³³
khummuang_002081.mp3,lung³³ mi³³ knuaitak⁵¹ khongat¹⁵ u²¹ nueng²¹ saen¹⁵ song¹⁵ muen²¹ knong²¹
khummuang_002250.mp3,kho¹⁵ du³³ menu³³ noi²¹ dai⁵¹ mai¹⁵ khnap³³
khummuang_002365.mp3,phitai⁵¹ khai¹⁵ knuaitak⁵¹ knong²¹ la³³ yitip⁵¹ sam¹⁵ bat³³ khnap³³
khummuang_002412.mp3,phuean⁵¹ mi³³ khao⁵¹ ommani¹⁵ chk¹⁵ sunin¹⁵ chai³³ si¹⁵ ri³³ khong¹⁵ khnong³³ u²¹ sip¹⁵ kao⁵¹ ho²¹
khummuang_002427.mp3,chan¹⁵ chep³³ kho³³ lae³³ ai³³
khummuang_002569.mp3,nongtai⁴⁴ mi³³ cha³³ kaen²¹ taan³³ khong¹⁵ thiakanoำpoe⁵¹ u²¹ yi⁵¹ sipa⁵¹ ho²¹
khummuang_002607.mp3,khnnum⁵¹ mi³³ knuaitak⁵¹ khongtnat¹⁵ u²¹ samtip¹⁵ knong²¹
