pattani_000030,เมาะเย็ง อาดอ อีแก ฆอ รัย บือละห์รีบู บูกุห์ ครับ เราะ,dev_audio00/pattani_000030.mp3
pattani_000232,p aː ˧ . ʔ aː ˧ . f aː ˧ . t ɔː ˧ . w eː ˧,dev_audio00/pattani_000232.mp3
pattani_000243,ʔ a t̚ ˨˩ . s aː ˩˩˦ . l aː ˧ . m uː ˧ . th a ˦˥ . b aː ˧ . r i ˦˥ . k aː n ˧,dev_audio00/pattani_000243.mp3
pattani_000374,d iː ˧ . r a ˦˥ . kh aw ˥˩ . th aː ˧ . r ia̯ ŋ ˥˩,dev_audio00/pattani_000374.mp3
pattani_000477,th w ɛː ˩˩˦ . p uː ˧ . h a ˨˩ . r aj ˧ . ʔ oː ˧,dev_audio00/pattani_000477.mp3
pattani_000591,j aː ˧ . s a ˨˩ . ʔ aː ˧ . d ɔː ˧ . b aː ˧ . k oː ˥˩,dev_audio00/pattani_000591.mp3
pattani_000709,k aː ˧ . w ɛː n ˧ . th a ˨˩ . n eː ˧ . w i ˦˥ . k ɛː ˧,dev_audio00/pattani_000709.mp3
pattani_000717,j ɔː ˧ . k iː ˧ . n iː ˧ . j ɔː ˧ . d iː ˧ . m aː ˧ . d ɔː ˧,dev_audio00/pattani_000717.mp3
pattani_000751,k aː ˧ . l u ˦˥ . b aː ˧ . s aːj ˩˩˦ . th ɔː ˧ . n aː ˧ . n eː ˧,dev_audio00/pattani_000751.mp3
pattani_000936,d ɛː ˧ . m ɔː ˧ . kh a ˦˥ . l iː ˧ . m a ˦˥,dev_audio00/pattani_000936.mp3
pattani_001178,m aː ˧ . n i ˦˥ . j aː t̚ ˨˩ . kh ɔː ˧ . d ɛː ˧ . d aːw ˥˩,dev_audio00/pattani_001178.mp3
pattani_001223,s aːj ˩˩˦ . ʔ aː ˧ . b ɔː ˧ . r i ˦˥ . ʔ oː ˧ . s aː ˩˩˦,dev_audio00/pattani_001223.mp3
pattani_001241,ʔ aː ˧ . b ɛː t̚ ˨˩ . th a ˨˩ . ʔ aː ˧ . b aː ˧ . r i ˦˥ . b aː ˥˩,dev_audio00/pattani_001241.mp3
pattani_001275,ʔ ɔː ˧ . r a ˦˥ . s uː ˧ . th ɔː ˧ . w i ˦˥ . n aː ˥˩,dev_audio00/pattani_001275.mp3
pattani_001334,ph aː ˧ . d iː ˧ . ʔ a ˨˩ . d iː ˥˩,dev_audio00/pattani_001334.mp3
pattani_001375,m iː ˧ . s iː ˧ . ʔ a ˨˩ . d aː ˧ . kh u ʔ ˨˩,dev_audio00/pattani_001375.mp3
pattani_001457,n a ˦˥ . m a ˦˥ . d uː ˧ . ʔ aː ˧ . s a ˨˩ . n iː ˧,dev_audio00/pattani_001457.mp3
pattani_001488,h ɔ n ˧ . ʔ aː ˧ . kh aw ˥˩ . k eʔ ˨˩,dev_audio00/pattani_001488.mp3
pattani_001575,l ɛ m ˧ . ph uː ˧ . l ɛː ˧ . dh aːw ˥˩,dev_audio00/pattani_001575.mp3
pattani_001594,d ɛː ˧ . m ɔː ˧ . j aː ˧ . d iː n ˧,dev_audio00/pattani_001594.mp3
pattani_001636,s ɛː ˧ . d aː ˧ . ʔ aː ˧ . h ɔ t̚ ˨˩,dev_audio00/pattani_001636.mp3
pattani_001669,b ɔ m ˧ . h e ŋ ˧ . ʔ aː ˧ . d iː ˥˩,dev_audio00/pattani_001669.mp3
pattani_001776,ʔ aː ˧ . n aw ˦˥ . s a ˨˩ . m uː ˧ . r i ˦˥ . b aː t̚ ˨˩,dev_audio00/pattani_001776.mp3
pattani_001781,m uː ˧ . s ɔː ˧ . d aː ˧ . ʔ aː ˧ . w i ˦˥ . k r oː t̚ ˨˩,dev_audio00/pattani_001781.mp3
pattani_001851,n a ˦˥ . th i ˦˥ . b aː ˧ . ʔ aː ˧ . w eː ˧,dev_audio00/pattani_001851.mp3
pattani_001927,d iː ˧ . ʔ aː ˧ . s a ˨˩ . t ua̯ ˧ . w eː ˧,dev_audio00/pattani_001927.mp3
pattani_001983,m iː ˧ . t aw ˧ . kh a ˨˩ . r ɔʔ ˦˥,dev_audio00/pattani_001983.mp3
pattani_002005,k aː ˧ . w ɛː n ˧ . th aː ˧ . n ɔʔ ˦˥ . k eː ˧ . n a m ˧ . n ɔʔ ˦˥,dev_audio00/pattani_002005.mp3
pattani_002006,h ɔ n ˧ . s aj ˩˩˦ . l aj ˧ . t ɤː ˥˩,dev_audio00/pattani_002006.mp3
pattani_002070,m iː ˧ . n aw ˦˥ . p uː ˧ . h a ˨˩ . ʔ aː t̚ ˥˩,dev_audio00/pattani_002070.mp3
pattani_002271,h aː ˧ . w ɔː ˧ . r a ˦˥ . s aː ˩˩˦ . ʔ a ˨˩ . b aː ˧ . r i ˦˥ . k aː t̚ ˨˩,dev_audio00/pattani_002271.mp3
pattani_002332,m iː t̚ ˥˩ . j a ˦˥ . kh ɤː t̚ ˥˩,dev_audio00/pattani_002332.mp3
pattani_002336,l iː ˧ . ph ɤː ŋ ˧ . h a ˨˩ . m e ŋ ˥˩,dev_audio00/pattani_002336.mp3
pattani_002374,m aː ˧ . kh a ˨˩ . w aː n ˧ . t u ˨˩ . ph aː ˥˩,dev_audio00/pattani_002374.mp3
pattani_002382,n i ˦˥ . h aː ŋ ˩˩˦ . d u ʔ ˨˩,dev_audio00/pattani_002382.mp3
pattani_002408,j a ˦˥ . w aː ˧ . ʔ a ˨˩ . d ɤː t̚ ˨˩,dev_audio00/pattani_002408.mp3
pattani_002620,k a ˨˩ . t u ˨˩ . ʔ aː ˧ . w i ˦˥ . t ɔː ˧,dev_audio00/pattani_002620.mp3
pattani_002739,d ɛː ˧ . m ɔː ˧ . t aː ˧ . h uː ˧ . h eː ˧ . r a ˦˥ . h uː ˧,dev_audio00/pattani_002739.mp3
pattani_002808,m e n ˧ . th uː ˧ . n i ŋ ˧,dev_audio00/pattani_002808.mp3
pattani_002821,m a ˦˥ . h aː t̚ ˨˩ . ʔ a ˨˩ . h aː ˧ . t͡ɕ o p̚ ˨˩,dev_audio00/pattani_002821.mp3
pattani_002830,m i ŋ ˧ . kh aː ˧ . d aː ˧ . ʔ oː ˧ . h aj ˧,dev_audio00/pattani_002830.mp3
pattani_002940,m iː ˧ . s iː ˧ . ʔ a ˨˩ . d ɤː ˥˩,dev_audio00/pattani_002940.mp3
pattani_002949,s aːj ˩˩˦ . ʔ aː ˧ . b u ˨˩ . d oː ˧ . m a ˦˥ . d iː ˧ . p r a ˨˩ . d iː ˧,dev_audio00/pattani_002949.mp3
pattani_002996,n a ŋ ˧ . s aː ˩˩˦ . m aː ˧ . r i ˦˥ . s a ŋ ˩˩˦,dev_audio00/pattani_002996.mp3
pattani_003040,k aː ˧ . w ɛː n ˧ . th aː ˧ . n eː ˧ . w i ˦˥ . k aː ˧ . d ɛː ˧,dev_audio00/pattani_003040.mp3
pattani_003129,d ɛː ˧ . m ɔː ˧ . j aː ˧ . d iː ˥˩ . kh aː ˧ . n ɯa̯ t̚ ˥˩,dev_audio00/pattani_003129.mp3
pattani_003141,th uː ˧ . k ɔː ˧ . d aː ˧ . kh ɔː ˧ . th i ˦˥ . b aː ˧ . n ɔː ˧,dev_audio00/pattani_003141.mp3
pattani_003163,t oʔ ˦˥ . t͡ɕh aː ˧ . s a ˨˩ . ʔ aː ˧ . w i ˦˥ . k aː ˧,dev_audio00/pattani_003163.mp3
pattani_003356,th uː ˧ . p ɔ ŋ ˧ . kh aː t̚ ˥˩,dev_audio00/pattani_003356.mp3
pattani_003358,m ɔː ˧ . l ɛʔ ˦˥ . s uː ˧ . th iː ˥˩ . ŋ oː ˥˩,dev_audio00/pattani_003358.mp3
pattani_003365,m a ˦˥ . h aː t̚ ˨˩ . ʔ aː ˧ . w eː ˧ . s ua̯ ˩˩˦,dev_audio00/pattani_003365.mp3
pattani_003373,j aː ˧ . s ɔʔ ˦˥ . kh ɤː ˧ . d iː ˥˩,dev_audio00/pattani_003373.mp3
